"ensembl_gene_id"	"external_gene_name"
"489"	"ENSG00000091704"	"CPA1"
"490"	"ENSG00000091879"	"ANGPT2"
"491"	"ENSG00000091972"	"CD200"
"492"	"ENSG00000091986"	"CCDC80"
"493"	"ENSG00000092009"	"CMA1"
"494"	"ENSG00000092067"	"CEBPE"
"495"	"ENSG00000092345"	"DAZL"
"496"	"ENSG00000092529"	"CAPN3"
"497"	"ENSG00000092758"	"COL9A3"
"498"	"ENSG00000092847"	"AGO1"
"499"	"ENSG00000092853"	"CLSPN"
"500"	"ENSG00000092964"	"DPYSL2"
"501"	"ENSG00000093009"	"CDC45"
"502"	"ENSG00000093010"	"COMT"
"503"	"ENSG00000093072"	"ADA2"
"504"	"ENSG00000093144"	"ECHDC1"
"505"	"ENSG00000094804"	"CDC6"
"506"	"ENSG00000094880"	"CDC23"
"507"	"ENSG00000094914"	"AAAS"
"508"	"ENSG00000094916"	"CBX5"
"509"	"ENSG00000095059"	"DHPS"
"510"	"ENSG00000095139"	"ARCN1"
"511"	"ENSG00000095321"	"CRAT"
"512"	"ENSG00000095485"	"CWF19L1"
"513"	"ENSG00000095564"	"BTAF1"
"514"	"ENSG00000095585"	"BLNK"
"515"	"ENSG00000095596"	"CYP26A1"
"516"	"ENSG00000095713"	"CRTAC1"
"517"	"ENSG00000095739"	"BAMBI"
"518"	"ENSG00000095794"	"CREM"
"519"	"ENSG00000096006"	"CRISP3"
"520"	"ENSG00000096070"	"BRPF3"
"521"	"ENSG00000096093"	"EFHC1"
"522"	"ENSG00000096401"	"CDC5L"
"523"	"ENSG00000096696"	"DSP"
"524"	"ENSG00000097007"	"ABL1"
"525"	"ENSG00000097021"	"ACOT7"
"526"	"ENSG00000097046"	"CDC7"
"527"	"ENSG00000099204"	"ABLIM1"
"528"	"ENSG00000099338"	"CATSPERG"
"529"	"ENSG00000099385"	"BCL7C"
"530"	"ENSG00000099617"	"EFNA2"
"531"	"ENSG00000099622"	"CIRBP"
"532"	"ENSG00000099624"	"ATP5F1D"
"533"	"ENSG00000099625"	"CBARP"
"534"	"ENSG00000099721"	"AMELY"
"535"	"ENSG00000099804"	"CDC34"
"536"	"ENSG00000099834"	"CDHR5"
"537"	"ENSG00000099889"	"ARVCF"
"538"	"ENSG00000099942"	"CRKL"
"539"	"ENSG00000099954"	"CECR2"
"540"	"ENSG00000099958"	"DERL3"
"541"	"ENSG00000099968"	"BCL2L13"
"542"	"ENSG00000099977"	"DDT"
"543"	"ENSG00000099991"	"CABIN1"
"544"	"ENSG00000100053"	"CRYBB3"
"545"	"ENSG00000100055"	"CYTH4"
"546"	"ENSG00000100065"	"CARD10"
"547"	"ENSG00000100122"	"CRYBB1"
"548"	"ENSG00000100124"	"ANKRD54"
"549"	"ENSG00000100129"	"EIF3L"
"550"	"ENSG00000100147"	"CCDC134"
"551"	"ENSG00000100150"	"DEPDC5"
"552"	"ENSG00000100197"	"CYP2D6"
"553"	"ENSG00000100201"	"DDX17"
"554"	"ENSG00000100206"	"DMC1"
"555"	"ENSG00000100211"	"CBY1"
"556"	"ENSG00000100243"	"CYB5R3"
"557"	"ENSG00000100246"	"DNAL4"
"558"	"ENSG00000100280"	"AP1B1"
"559"	"ENSG00000100288"	"CHKB"
"560"	"ENSG00000100290"	"BIK"
"561"	"ENSG00000100298"	"APOBEC3H"
"562"	"ENSG00000100299"	"ARSA"
"563"	"ENSG00000100307"	"CBX7"
"564"	"ENSG00000100312"	"ACR"
"565"	"ENSG00000100325"	"ASCC2"
"566"	"ENSG00000100336"	"APOL4"
"567"	"ENSG00000100342"	"APOL1"
"568"	"ENSG00000100346"	"CACNA1I"
"569"	"ENSG00000100353"	"EIF3D"
"570"	"ENSG00000100368"	"CSF2RB"
"571"	"ENSG00000100399"	"CHADL"
"572"	"ENSG00000100412"	"ACO2"
"573"	"ENSG00000100418"	"DESI1"
"574"	"ENSG00000100422"	"CERK"
"575"	"ENSG00000100425"	"BRD1"
"576"	"ENSG00000100439"	"ABHD4"
"577"	"ENSG00000100448"	"CTSG"
"578"	"ENSG00000100473"	"COCH"
"579"	"ENSG00000100478"	"AP4S1"
"580"	"ENSG00000100490"	"CDKL1"
"581"	"ENSG00000100523"	"DDHD1"
"582"	"ENSG00000100526"	"CDKN3"
"583"	"ENSG00000100528"	"CNIH1"
"584"	"ENSG00000100532"	"CGRRF1"
"585"	"ENSG00000100554"	"ATP6V1D"
"586"	"ENSG00000100591"	"AHSA1"
"587"	"ENSG00000100592"	"DAAM1"
"588"	"ENSG00000100601"	"ALKBH1"
"589"	"ENSG00000100604"	"CHGA"
"590"	"ENSG00000100612"	"DHRS7"
"591"	"ENSG00000100628"	"ASB2"
"592"	"ENSG00000100629"	"CEP128"
"593"	"ENSG00000100664"	"EIF5"
"594"	"ENSG00000100697"	"DICER1"
"595"	"ENSG00000100739"	"BDKRB1"
"596"	"ENSG00000100802"	"C14orf93"
"597"	"ENSG00000100813"	"ACIN1"
"598"	"ENSG00000100814"	"CCNB1IP1"
"599"	"ENSG00000100823"	"APEX1"
"600"	"ENSG00000100842"	"EFS"
"601"	"ENSG00000100852"	"ARHGAP5"
"602"	"ENSG00000100865"	"CINP"
"603"	"ENSG00000100867"	"DHRS2"
"604"	"ENSG00000100884"	"CPNE6"
"605"	"ENSG00000100888"	"CHD8"
"606"	"ENSG00000100897"	"DCAF11"
"607"	"ENSG00000100908"	"EMC9"
"608"	"ENSG00000100916"	"BRMS1L"
